21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,33,21,21,0
21,21,21,21,21,21,21,21,21,21,34,34,21,21,21,21,21,21,21,21,21,21,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,33,33,21,21,21,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,34,34,21,21,21,21,21,21,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,64,65,66,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,67,68,69,21,21,0
21,21,21,21,21,21,34,34,34,34,34,34,21,21,21,21,21,21,21,67,68,69,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,67,68,69,21,21,0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,67,68,69,21,21,0
43,43,42,41,43,43,43,43,43,42,41,43,43,43,43,43,43,43,43,43,43,43,43,43,43
11,11,10,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
11,11,10,11,11,11,11,11,11,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
